test_date,NYC_percentile,Richmond_w_percentile,Queens_w_percentile,Kings_w_percentile,Bronx_w_percentile,New York_w_percentile
2023-04-03,17.616932613386126,18.89570744347088,18.70641394940746,16.05855133319047,13.399999999999999,21.5
2023-04-04,16.745758818600198,17.28448784099168,18.95231167371039,15.94799882532508,17.8,14.0
2023-04-05,16.745758818600198,17.28448784099168,18.95231167371039,15.94799882532508,17.8,14.0
2023-04-06,16.745758818600198,17.28448784099168,18.95231167371039,15.94799882532508,17.8,14.0
2023-04-07,16.745758818600198,17.28448784099168,18.95231167371039,15.94799882532508,17.8,14.0
2023-04-08,16.745758818600198,17.28448784099168,18.95231167371039,15.94799882532508,17.8,14.0
2023-04-09,14.21519314232564,15.089439019876039,16.482420441085665,13.633794955730561,18.2,9.0
2023-04-10,14.21519314232564,15.089439019876039,16.482420441085665,13.633794955730561,18.2,9.0
2023-04-11,15.225120980496568,16.34653647702496,17.366936816353558,15.71990332052717,13.0,11.099999999999998
2023-04-12,15.225120980496568,16.34653647702496,17.366936816353558,15.71990332052717,13.0,11.099999999999998
2023-04-13,15.225120980496568,16.34653647702496,17.366936816353558,15.71990332052717,13.0,11.099999999999998
2023-04-14,15.225120980496568,16.34653647702496,17.366936816353558,15.71990332052717,13.0,11.099999999999998
2023-04-15,15.225120980496568,16.34653647702496,17.366936816353558,15.71990332052717,13.0,11.099999999999998
2023-04-16,13.10582833920661,13.95148765590932,13.974074870881156,12.701775988388524,15.600000000000001,10.8
2023-04-17,13.10582833920661,13.95148765590932,13.974074870881156,12.701775988388524,15.600000000000001,10.8
2023-04-18,12.06049899742045,12.985146463346922,13.239893980807004,11.691751497589742,16.6,7.8999999999999995
2023-04-19,12.06049899742045,12.985146463346922,13.239893980807004,11.691751497589742,16.6,7.8999999999999995
2023-04-20,12.06049899742045,12.985146463346922,13.239893980807004,11.691751497589742,16.6,7.8999999999999995
2023-04-21,12.06049899742045,12.985146463346922,13.239893980807004,11.691751497589742,16.6,7.8999999999999995
2023-04-22,12.06049899742045,12.985146463346922,13.239893980807004,11.691751497589742,16.6,7.8999999999999995
2023-04-23,11.031730602430887,12.69570744347088,14.336303295364138,9.930886807096222,9.8,8.0
2023-04-24,11.031730602430887,12.69570744347088,14.336303295364138,9.930886807096222,9.8,8.0
2023-04-25,13.154688788291375,10.40626842359484,17.395304988071157,10.892742724452114,15.0,11.200000000000001
2023-04-26,13.154688788291375,10.40626842359484,17.395304988071157,10.892742724452114,15.0,11.200000000000001
2023-04-27,13.154688788291375,10.40626842359484,17.395304988071157,10.892742724452114,15.0,11.200000000000001
2023-04-28,13.154688788291375,10.40626842359484,17.395304988071157,10.892742724452114,15.0,11.200000000000001
2023-04-29,13.154688788291375,10.40626842359484,17.395304988071157,10.892742724452114,15.0,11.200000000000001
2023-04-30,13.005537255317778,9.3168294037188,19.21267561775143,8.637816526406201,16.6,12.099999999999998
2023-05-01,13.005537255317778,9.3168294037188,19.21267561775143,8.637816526406201,16.6,12.099999999999998
2023-05-02,15.259655399418657,10.116829403718803,22.234806330156317,11.311752443127135,13.199999999999998,15.799999999999999
2023-05-03,15.259655399418657,10.116829403718803,22.234806330156317,11.311752443127135,13.199999999999998,15.799999999999999
2023-05-04,15.259655399418657,10.116829403718803,22.234806330156317,11.311752443127135,13.199999999999998,15.799999999999999
2023-05-05,15.259655399418657,10.116829403718803,22.234806330156317,11.311752443127135,13.199999999999998,15.799999999999999
2023-05-06,15.259655399418657,10.116829403718803,22.234806330156317,11.311752443127135,13.199999999999998,15.799999999999999
2023-05-07,15.636218730595154,8.26336588074376,23.539395987076325,11.34687743178241,11.2,17.599999999999998
